Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados;Servicios contratados;Servicios contratados
WEB;Ethernet;2021-08-21 00:35:16.366;2021-08-21 00:35:19.386;1589;172;3020;Tiempo final empleado: 2316ms;2316
WEB;Ethernet;2021-08-20 21:47:45.139;2021-08-20 21:47:48.007;2058;54;2868;Tiempo final empleado: 2315ms;2315
WEB;Ethernet;2021-08-20 22:34:08.951;2021-08-20 22:34:12.021;1136;233;3070;Tiempo final empleado: 2312ms;2312
WEB;Ethernet;2021-08-20 21:50:53.308;2021-08-20 21:50:55.144;2127;335;1836;Tiempo final empleado: 2308ms;2308
WEB;Ethernet;2021-08-20 22:52:46.627;2021-08-20 22:52:48.947;1711;500;2320;Tiempo final empleado: 2308ms;2308
WEB;Ethernet;2021-08-20 23:18:35.275;2021-08-20 23:18:38.353;1392;159;3078;Tiempo final empleado: 2307ms;2307
WEB;Ethernet;2021-08-20 22:20:39.446;2021-08-20 22:20:41.989;2313;528;2543;Tiempo final empleado: 2305ms;2305
WEB;Ethernet;2021-08-20 23:42:06.573;2021-08-20 23:42:09.366;1740;300;2793;Tiempo final empleado: 2305ms;2305
WEB;Ethernet;2021-08-21 00:20:54.076;2021-08-21 00:20:57.199;1280;172;3123;Tiempo final empleado: 2305ms;2305
WEB;Ethernet;2021-08-21 00:54:57.072;2021-08-21 00:55:00.189;1313;151;3117;Tiempo final empleado: 2298ms;2298
WEB;Ethernet;2021-08-21 00:32:08.191;2021-08-21 00:32:11.342;1366;163;3151;Tiempo final empleado: 2297ms;2297
WEB;Ethernet;2021-08-20 22:15:26.975;2021-08-20 22:15:29.935;1265;225;2960;Tiempo final empleado: 2292ms;2292
WEB;Ethernet;2021-08-21 01:16:13.320;2021-08-21 01:16:16.292;1262;338;2972;Tiempo final empleado: 2292ms;2292
WEB;Ethernet;2021-08-21 01:09:50.820;2021-08-21 01:09:53.374;1874;195;2554;Tiempo final empleado: 2290ms;2290
WEB;Ethernet;2021-08-20 23:07:28.535;2021-08-20 23:07:31.561;1447;207;3026;Tiempo final empleado: 2287ms;2287
WEB;Ethernet;2021-08-20 23:00:28.635;2021-08-20 23:00:31.703;1322;158;3068;Tiempo final empleado: 2286ms;2286
WEB;Ethernet;2021-08-21 00:01:12.036;2021-08-21 00:01:14.831;1484;392;2795;Tiempo final empleado: 2281ms;2281
WEB;Ethernet;2021-08-20 22:38:01.469;2021-08-20 22:38:04.490;1063;150;3021;Tiempo final empleado: 2279ms;2279
WEB;Ethernet;2021-08-21 00:38:25.102;2021-08-21 00:38:27.949;1274;345;2847;Tiempo final empleado: 2275ms;2275
WEB;Ethernet;2021-08-21 00:41:38.095;2021-08-21 00:41:41.177;1208;151;3082;Tiempo final empleado: 2272ms;2272
WEB;Ethernet;2021-08-20 23:24:00.275;2021-08-20 23:24:03.371;1220;140;3096;Tiempo final empleado: 2271ms;2271
WEB;Ethernet;2021-08-21 00:29:00.707;2021-08-21 00:29:03.819;1339;175;3112;Tiempo final empleado: 2269ms;2269
WEB;Ethernet;2021-08-21 00:34:29.164;2021-08-21 00:34:32.015;1031;342;2851;Tiempo final empleado: 2267ms;2267
WEB;Ethernet;2021-08-20 23:43:41.219;2021-08-20 23:43:44.041;1440;418;2822;Tiempo final empleado: 2266ms;2266
WEB;Ethernet;2021-08-20 23:59:37.403;2021-08-20 23:59:40.395;1335;171;2992;Tiempo final empleado: 2261ms;2261
WEB;Ethernet;2021-08-20 23:55:43.544;2021-08-20 23:55:46.519;1268;181;2975;Tiempo final empleado: 2260ms;2260
WEB;Ethernet;2021-08-21 00:50:15.383;2021-08-21 00:50:18.572;1325;150;3189;Tiempo final empleado: 2260ms;2260
WEB;Ethernet;2021-08-20 22:43:27.845;2021-08-20 22:43:30.828;1444;147;2983;Tiempo final empleado: 2258ms;2258
WEB;Ethernet;2021-08-20 22:59:41.421;2021-08-20 22:59:44.497;1329;143;3076;Tiempo final empleado: 2258ms;2258
WEB;Ethernet;2021-08-21 00:45:32.585;2021-08-21 00:45:35.563;1391;141;2978;Tiempo final empleado: 2258ms;2258
WEB;Ethernet;2021-08-20 22:34:53.952;2021-08-20 22:34:56.742;1360;180;2790;Tiempo final empleado: 2257ms;2257
WEB;Ethernet;2021-08-21 00:59:39.759;2021-08-21 00:59:42.415;1252;419;2656;Tiempo final empleado: 2256ms;2256
WEB;Ethernet;2021-08-21 00:22:28.230;2021-08-21 00:22:31.037;1314;369;2807;Tiempo final empleado: 2255ms;2255
WEB;Ethernet;2021-08-20 23:53:25.189;2021-08-20 23:53:28.024;1236;391;2835;Tiempo final empleado: 2253ms;2253
WEB;Ethernet;2021-08-20 23:12:11.387;2021-08-20 23:12:14.110;1383;384;2723;Tiempo final empleado: 2249ms;2249
WEB;Ethernet;2021-08-20 22:28:53.588;2021-08-20 22:28:56.486;1843;155;2898;Tiempo final empleado: 2246ms;2246
WEB;Ethernet;2021-08-21 00:07:33.630;2021-08-21 00:07:36.517;1344;381;2887;Tiempo final empleado: 2243ms;2243
WEB;Ethernet;2021-08-20 22:23:39.097;2021-08-20 22:23:41.409;1593;512;2312;Tiempo final empleado: 2240ms;2240
WEB;Ethernet;2021-08-21 00:17:47.136;2021-08-21 00:17:49.396;1528;490;2260;Tiempo final empleado: 2240ms;2240
WEB;Ethernet;2021-08-20 23:52:38.571;2021-08-20 23:52:41.456;1387;342;2885;Tiempo final empleado: 2239ms;2239
WEB;Ethernet;2021-08-21 00:51:02.897;2021-08-21 00:51:05.786;1386;395;2889;Tiempo final empleado: 2239ms;2239
WEB;Ethernet;2021-08-21 00:09:55.753;2021-08-21 00:09:58.029;1703;504;2276;Tiempo final empleado: 2237ms;2237
WEB;Ethernet;2021-08-20 22:48:53.633;2021-08-20 22:48:56.324;1376;415;2691;Tiempo final empleado: 2232ms;2232
WEB;Ethernet;2021-08-20 23:33:17.366;2021-08-20 23:33:20.392;1340;146;3026;Tiempo final empleado: 2232ms;2232
WEB;Ethernet;2021-08-20 22:55:49.845;2021-08-20 22:55:52.935;969;138;3090;Tiempo final empleado: 2231ms;2231
WEB;Ethernet;2021-08-20 22:51:59.689;2021-08-20 22:52:02.112;1565;395;2423;Tiempo final empleado: 2229ms;2229
WEB;Ethernet;2021-08-21 00:05:09.566;2021-08-21 00:05:12.420;1295;266;2854;Tiempo final empleado: 2227ms;2227
WEB;Ethernet;2021-08-20 22:24:24.483;2021-08-20 22:24:26.151;2213;619;1668;Tiempo final empleado: 2226ms;2226
WEB;Ethernet;2021-08-20 22:03:28.322;2021-08-20 22:03:30.632;1712;565;2310;Tiempo final empleado: 2223ms;2223
WEB;Ethernet;2021-08-20 21:26:08.354;2021-08-20 21:26:11.208;1377;45;2854;Tiempo final empleado: 2219ms;2219
WEB;Ethernet;2021-08-20 23:35:41.017;2021-08-20 23:35:43.473;1258;497;2456;Tiempo final empleado: 2219ms;2219
WEB;Ethernet;2021-08-20 21:51:41.000;2021-08-20 21:51:43.545;1362;130;2545;Tiempo final empleado: 2211ms;2211
WEB;Ethernet;2021-08-21 00:36:49.511;2021-08-21 00:36:52.629;1392;162;3118;Tiempo final empleado: 2211ms;2211
WEB;Ethernet;2021-08-20 21:42:02.089;2021-08-20 21:42:04.812;1537;56;2723;Tiempo final empleado: 2210ms;2210
WEB;Ethernet;2021-08-21 00:24:50.984;2021-08-21 00:24:53.974;1188;143;2990;Tiempo final empleado: 2209ms;2209
WEB;Ethernet;2021-08-20 22:10:13.170;2021-08-20 22:10:15.895;1508;177;2725;Tiempo final empleado: 2201ms;2201
WEB;Ethernet;2021-08-20 23:01:16.144;2021-08-20 23:01:18.385;1889;331;2241;Tiempo final empleado: 2196ms;2196
WEB;Ethernet;2021-08-20 22:16:56.377;2021-08-20 22:16:59.065;1391;263;2688;Tiempo final empleado: 2186ms;2186
WEB;Ethernet;2021-08-20 23:21:41.414;2021-08-20 23:21:44.202;1565;240;2788;Tiempo final empleado: 2180ms;2180
WEB;Ethernet;2021-08-20 21:26:48.335;2021-08-20 21:26:50.993;1155;44;2658;Tiempo final empleado: 2179ms;2179
WEB;Ethernet;2021-08-20 23:14:31.763;2021-08-20 23:14:34.767;1300;147;3004;Tiempo final empleado: 2179ms;2179
WEB;Ethernet;2021-08-20 21:42:44.693;2021-08-20 21:42:47.359;1633;59;2666;Tiempo final empleado: 2172ms;2172
WEB;Ethernet;2021-08-20 22:11:41.635;2021-08-20 22:11:44.112;1505;344;2477;Tiempo final empleado: 2172ms;2172
WEB;Ethernet;2021-08-20 23:38:06.186;2021-08-20 23:38:09.201;1177;197;3015;Tiempo final empleado: 2171ms;2171
WEB;Ethernet;2021-08-20 22:41:06.960;2021-08-20 22:41:09.663;1487;347;2703;Tiempo final empleado: 2168ms;2168
WEB;Ethernet;2021-08-20 23:47:50.168;2021-08-20 23:47:52.374;1882;526;2206;Tiempo final empleado: 2166ms;2166
WEB;Ethernet;2021-08-21 00:00:25.492;2021-08-21 00:00:27.727;1641;324;2235;Tiempo final empleado: 2165ms;2165
WEB;Ethernet;2021-08-20 23:42:53.916;2021-08-20 23:42:56.061;1957;466;2145;Tiempo final empleado: 2164ms;2164
WEB;Ethernet;2021-08-20 21:32:41.310;2021-08-20 21:32:43.912;1295;45;2602;Tiempo final empleado: 2162ms;2162
WEB;Ethernet;2021-08-20 22:13:56.439;2021-08-20 22:13:59.356;1761;178;2917;Tiempo final empleado: 2160ms;2160
WEB;Ethernet;2021-08-20 23:02:01.847;2021-08-20 23:02:04.647;1355;396;2800;Tiempo final empleado: 2155ms;2155
WEB;Ethernet;2021-08-20 22:42:41.818;2021-08-20 22:42:44.613;1669;312;2795;Tiempo final empleado: 2151ms;2151
WEB;Ethernet;2021-08-21 01:05:55.085;2021-08-21 01:05:57.997;1354;231;2912;Tiempo final empleado: 2150ms;2150
WEB;Ethernet;2021-08-20 23:11:24.570;2021-08-20 23:11:27.085;2242;103;2515;Tiempo final empleado: 2143ms;2143
WEB;Ethernet;2021-08-21 01:00:25.938;2021-08-21 01:00:28.751;1018;156;2813;Tiempo final empleado: 2132ms;2132
WEB;Ethernet;2021-08-20 22:49:40.680;2021-08-20 22:49:42.692;1924;422;2012;Tiempo final empleado: 2131ms;2131
WEB;Ethernet;2021-08-20 23:10:37.351;2021-08-20 23:10:40.151;1572;164;2800;Tiempo final empleado: 2131ms;2131
WEB;Ethernet;2021-08-20 22:21:24.230;2021-08-20 22:21:27.071;1401;235;2841;Tiempo final empleado: 2130ms;2130
WEB;Ethernet;2021-08-20 22:14:41.811;2021-08-20 22:14:44.641;1304;152;2830;Tiempo final empleado: 2128ms;2128
WEB;Ethernet;2021-08-20 21:44:07.919;2021-08-20 21:44:10.480;1781;69;2561;Tiempo final empleado: 2126ms;2126
WEB;Ethernet;2021-08-20 23:20:08.425;2021-08-20 23:20:11.241;1347;169;2816;Tiempo final empleado: 2126ms;2126
WEB;Ethernet;2021-08-21 00:20:07.933;2021-08-21 00:20:10.599;1204;345;2666;Tiempo final empleado: 2124ms;2124
WEB;Ethernet;2021-08-20 22:53:32.024;2021-08-20 22:53:34.669;1333;244;2645;Tiempo final empleado: 2120ms;2120
WEB;Ethernet;2021-08-20 23:29:25.913;2021-08-20 23:29:28.631;1536;328;2718;Tiempo final empleado: 2112ms;2112
WEB;Ethernet;2021-08-20 23:23:14.747;2021-08-20 23:23:17.596;1495;196;2849;Tiempo final empleado: 2109ms;2109
WEB;Ethernet;2021-08-20 21:52:34.768;2021-08-20 21:52:37.094;2597;423;2326;Tiempo final empleado: 2105ms;2105
WEB;Ethernet;2021-08-21 00:46:19.628;2021-08-21 00:46:22.341;1390;205;2713;Tiempo final empleado: 2103ms;2103
WEB;Ethernet;2021-08-20 22:17:40.112;2021-08-20 22:17:42.736;1498;213;2624;Tiempo final empleado: 2097ms;2097
WEB;Ethernet;2021-08-20 21:34:01.072;2021-08-20 21:34:03.613;1107;41;2541;Tiempo final empleado: 2096ms;2096
WEB;Ethernet;2021-08-20 23:26:20.170;2021-08-20 23:26:22.962;1626;392;2792;Tiempo final empleado: 2091ms;2091
WEB;Ethernet;2021-08-20 21:27:26.384;2021-08-20 21:27:28.892;1085;39;2508;Tiempo final empleado: 2085ms;2085
WEB;Ethernet;2021-08-20 22:54:18.860;2021-08-20 22:54:21.134;1843;320;2274;Tiempo final empleado: 2080ms;2080
WEB;Ethernet;2021-08-20 23:32:30.956;2021-08-20 23:32:33.814;1433;181;2858;Tiempo final empleado: 2079ms;2079
WEB;Ethernet;2021-08-21 00:16:14.013;2021-08-21 00:16:16.627;1256;245;2614;Tiempo final empleado: 2079ms;2079
WEB;Ethernet;2021-08-20 23:06:41.635;2021-08-20 23:06:44.201;1399;415;2566;Tiempo final empleado: 2076ms;2076
WEB;Ethernet;2021-08-21 00:28:12.544;2021-08-21 00:28:15.278;1256;179;2734;Tiempo final empleado: 2076ms;2076
WEB;Ethernet;2021-08-20 22:56:36.005;2021-08-20 22:56:38.953;1278;160;2948;Tiempo final empleado: 2073ms;2073
WEB;Ethernet;2021-08-20 22:19:09.184;2021-08-20 22:19:11.744;1180;277;2560;Tiempo final empleado: 2070ms;2070
WEB;Ethernet;2021-08-20 22:05:00.931;2021-08-20 22:05:03.471;1398;226;2540;Tiempo final empleado: 2066ms;2066
WEB;Ethernet;2021-08-20 22:46:34.333;2021-08-20 22:46:37.154;1396;147;2821;Tiempo final empleado: 2059ms;2059
WEB;Ethernet;2021-08-21 00:13:54.523;2021-08-21 00:13:57.075;1294;347;2552;Tiempo final empleado: 2059ms;2059
WEB;Ethernet;2021-08-20 23:19:22.436;2021-08-20 23:19:25.268;1477;162;2832;Tiempo final empleado: 2055ms;2055
WEB;Ethernet;2021-08-21 00:24:04.617;2021-08-21 00:24:07.420;1303;148;2803;Tiempo final empleado: 2047ms;2047
WEB;Ethernet;2021-08-20 23:09:51.544;2021-08-20 23:09:53.805;2615;299;2261;Tiempo final empleado: 2046ms;2046
WEB;Ethernet;2021-08-20 22:02:43.027;2021-08-20 22:02:45.619;1684;336;2592;Tiempo final empleado: 2045ms;2045
WEB;Ethernet;2021-08-20 21:28:05.037;2021-08-20 21:28:07.530;1366;40;2493;Tiempo final empleado: 2043ms;2043
WEB;Ethernet;2021-08-20 21:50:03.448;2021-08-20 21:50:06.003;1594;171;2555;Tiempo final empleado: 2039ms;2039
WEB;Ethernet;2021-08-20 22:55:04.395;2021-08-20 22:55:07.222;970;152;2827;Tiempo final empleado: 2038ms;2038
WEB;Ethernet;2021-08-20 22:28:07.672;2021-08-20 22:28:10.345;2464;226;2673;Tiempo final empleado: 2034ms;2034
WEB;Ethernet;2021-08-21 00:30:34.026;2021-08-21 00:30:36.786;1256;232;2760;Tiempo final empleado: 2026ms;2026
WEB;Ethernet;2021-08-21 00:47:06.499;2021-08-21 00:47:09.527;1265;153;3028;Tiempo final empleado: 2023ms;2023
WEB;Ethernet;2021-08-20 23:36:28.771;2021-08-20 23:36:30.976;1949;338;2205;Tiempo final empleado: 2021ms;2021
WEB;Ethernet;2021-08-20 22:01:14.429;2021-08-20 22:01:16.961;1420;194;2532;Tiempo final empleado: 2018ms;2018
WEB;Ethernet;2021-08-20 22:51:13.823;2021-08-20 22:51:16.126;2664;267;2303;Tiempo final empleado: 2017ms;2017
WEB;Ethernet;2021-08-20 23:30:12.066;2021-08-20 23:30:14.611;1059;351;2545;Tiempo final empleado: 2013ms;2013
WEB;Ethernet;2021-08-20 22:10:58.270;2021-08-20 22:11:00.015;2151;284;1745;Tiempo final empleado: 2008ms;2008
WEB;Ethernet;2021-08-20 22:18:24.850;2021-08-20 22:18:27.382;1378;303;2532;Tiempo final empleado: 2007ms;2007
WEB;Ethernet;2021-08-20 22:25:50.901;2021-08-20 22:25:53.383;1378;262;2482;Tiempo final empleado: 2006ms;2006
WEB;Ethernet;2021-08-20 21:32:03.672;2021-08-20 21:32:06.135;1307;38;2463;Tiempo final empleado: 1999ms;1999
WEB;Ethernet;2021-08-20 21:47:02.378;2021-08-20 21:47:04.870;1368;57;2492;Tiempo final empleado: 1993ms;1993
WEB;Ethernet;2021-08-20 22:09:28.487;2021-08-20 22:09:31.241;1340;169;2754;Tiempo final empleado: 1979ms;1979
WEB;Ethernet;2021-08-20 23:27:05.894;2021-08-20 23:27:08.349;1547;345;2455;Tiempo final empleado: 1979ms;1979
WEB;Ethernet;2021-08-20 22:40:21.317;2021-08-20 22:40:23.538;1814;268;2221;Tiempo final empleado: 1978ms;1978
WEB;Ethernet;2021-08-20 22:29:40.074;2021-08-20 22:29:41.566;2546;164;1492;Tiempo final empleado: 1970ms;1970
WEB;Ethernet;2021-08-20 22:33:23.936;2021-08-20 22:33:26.376;1292;233;2440;Tiempo final empleado: 1959ms;1959
WEB;Ethernet;2021-08-20 21:36:14.497;2021-08-20 21:36:16.855;1373;42;2358;Tiempo final empleado: 1957ms;1957
WEB;Ethernet;2021-08-21 00:10:41.815;2021-08-21 00:10:44.324;1401;298;2509;Tiempo final empleado: 1943ms;1943
WEB;Ethernet;2021-08-20 23:25:33.736;2021-08-20 23:25:36.421;1298;139;2685;Tiempo final empleado: 1941ms;1941
WEB;Ethernet;2021-08-21 00:13:09.363;2021-08-21 00:13:11.628;1685;332;2265;Tiempo final empleado: 1937ms;1937
WEB;Ethernet;2021-08-20 21:35:35.278;2021-08-20 21:35:37.545;1305;38;2267;Tiempo final empleado: 1931ms;1931
WEB;Ethernet;2021-08-20 22:48:07.220;2021-08-20 22:48:09.984;1395;194;2764;Tiempo final empleado: 1922ms;1922
WEB;Ethernet;2021-08-20 22:50:26.844;2021-08-20 22:50:29.296;1904;202;2452;Tiempo final empleado: 1922ms;1922
WEB;Ethernet;2021-08-20 23:38:52.942;2021-08-20 23:38:55.550;1232;160;2608;Tiempo final empleado: 1910ms;1910
WEB;Ethernet;2021-08-20 21:41:20.709;2021-08-20 21:41:23.136;1415;58;2427;Tiempo final empleado: 1904ms;1904
WEB;Ethernet;2021-08-20 23:31:45.577;2021-08-20 23:31:47.866;1870;81;2289;Tiempo final empleado: 1886ms;1886
WEB;Ethernet;2021-08-20 22:44:14.664;2021-08-20 22:44:17.383;1183;145;2719;Tiempo final empleado: 1885ms;1885
WEB;Ethernet;2021-08-20 21:34:57.347;2021-08-20 21:34:59.327;2288;236;1980;Tiempo final empleado: 1879ms;1879
WEB;Ethernet;2021-08-20 23:05:09.322;2021-08-20 23:05:11.495;2004;253;2173;Tiempo final empleado: 1875ms;1875
WEB;Ethernet;2021-08-20 22:30:22.525;2021-08-20 22:30:25.246;1109;158;2721;Tiempo final empleado: 1865ms;1865
WEB;Ethernet;2021-08-20 21:43:26.774;2021-08-20 21:43:28.909;1474;107;2135;Tiempo final empleado: 1843ms;1843
WEB;Ethernet;2021-08-20 22:25:07.589;2021-08-20 22:25:09.815;1446;310;2226;Tiempo final empleado: 1842ms;1842
WEB;Ethernet;2021-08-20 21:39:52.002;2021-08-20 21:39:54.379;1429;59;2377;Tiempo final empleado: 1826ms;1826
WEB;Ethernet;2021-08-20 21:40:38.917;2021-08-20 21:40:40.533;2073;57;1616;Tiempo final empleado: 1816ms;1816
WEB;Ethernet;2021-08-20 21:59:44.838;2021-08-20 21:59:47.381;1324;171;2543;Tiempo final empleado: 1781ms;1781
WEB;Ethernet;2021-08-20 21:59:00.945;2021-08-20 21:59:03.159;1496;349;2214;Tiempo final empleado: 1780ms;1780
WEB;Ethernet;2021-08-20 22:07:14.634;2021-08-20 22:07:17.107;1214;213;2473;Tiempo final empleado: 1776ms;1776
WEB;Ethernet;2021-08-20 22:38:48.137;2021-08-20 22:38:50.585;1123;161;2448;Tiempo final empleado: 1738ms;1738
WEB;Ethernet;2021-08-20 22:31:53.891;2021-08-20 22:31:56.242;1423;240;2351;Tiempo final empleado: 1728ms;1728
WEB;Ethernet;2021-08-20 22:13:12.304;2021-08-20 22:13:14.633;1382;272;2329;Tiempo final empleado: 1724ms;1724
WEB;Ethernet;2021-08-20 21:55:35.327;2021-08-20 21:55:38.617;1499;73;3290;Tiempo final empleado: 1709ms;1709
WEB;Ethernet;2021-08-20 21:24:51.854;2021-08-20 21:24:53.976;1038;41;2122;Tiempo final empleado: 1691ms;1691
WEB;Ethernet;2021-08-20 23:54:11.553;2021-08-20 23:54:13.821;1408;272;2268;Tiempo final empleado: 1686ms;1686
